Páginas;Formato;Cor;Papel Miolo;Papel Capa;50;100;150
8 Páginas;21 x 15 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;503,05;762,25;911,89
8 Páginas;21 x 15 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;508,67;776,84;927,48
8 Páginas;21 x 15 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;481,63;742,10;907,00
8 Páginas;21 x 15 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;487,25;756,68;922,59
8 Páginas;21 x 15 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;571,15;856,15;1.048,60
8 Páginas;21 x 15 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;576,77;870,74;1.064,20
8 Páginas;21 x 15 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;503,05;762,25;911,89
8 Páginas;21 x 15 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;508,67;776,84;927,48
8 Páginas;28 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;624,79;1.027,92;1.241,01
8 Páginas;28 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;631,30;1.044,26;1.257,95
8 Páginas;28 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;750,05;1.105,36;1.439,13
8 Páginas;28 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;756,55;1.120,54;1.456,08
8 Páginas;28 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;635,45;1.021,62;1.208,67
8 Páginas;28 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;641,95;1.037,96;1.225,62
8 Páginas;28 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;624,79;1.027,92;1.241,01
8 Páginas;28 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;631,30;1.044,26;1.257,95
8 Páginas;28 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;750,05;1.105,36;1.439,13
8 Páginas;28 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;756,55;1.120,54;1.456,08
8 Páginas;28 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;635,45;1.021,62;1.208,67
8 Páginas;28 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;641,95;1.037,96;1.225,62
8 Páginas;29,7 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;643,51;1.065,30;1.293,09
8 Páginas;29,7 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;650,14;1.081,87;1.310,36
8 Páginas;29,7 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;773,44;1.145,89;1.499,91
8 Páginas;29,7 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;780,06;1.161,29;1.517,19
8 Páginas;29,7 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;652,77;1.055,53;1.255,94
8 Páginas;29,7 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;659,39;1.072,10;1.273,21
8 Páginas;29,7 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;643,51;1.065,30;1.293,09
8 Páginas;29,7 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;650,14;1.081,87;1.310,36
8 Páginas;29,7 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;773,44;1.145,89;1.499,91
8 Páginas;29,7 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;780,06;1.161,29;1.517,19
8 Páginas;29,7 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;652,77;1.055,53;1.255,94
8 Páginas;29,7 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;659,39;1.072,10;1.273,21
